@relation users

@attribute stationId {8589139,8589129,8589135,8589157,8588860,8591687,8589159,8587255,8589153,8589163,8589177,8589143,8592383,8577815,8592374,null,8577811,8576986,8577742,8577784,8504631,8577741,8577790,8592382}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8589139,8589129,8589135,8589157,8588860,8591687,8589159,8587255,8589153,8589163,8589177,8589143,8592383,8577815,8592374,null,8577811,8576986,8577742,8577784,8504631,8577741,8577790,8592382}

@data
8589159,17,4,2,true,null
8592374,11,45,3,true,null
8577790,14,1,2,true,null
8592374,18,36,2,true,8577790
8592382,11,35,3,true,null
8592374,12,33,3,true,8592382
8589135,19,47,2,true,null
8592374,20,1,2,true,8589135
8504631,19,40,4,true,null
8592383,23,6,3,true,null
8577741,12,49,3,true,8592383
8577742,15,22,3,true,8577741
8592374,13,34,6,true,null
8504631,19,18,6,true,8592374
8592374,12,39,7,false,null
8504631,18,43,2,true,null
8592374,10,59,4,true,null
8589139,11,48,4,true,8592374
8589163,11,55,4,true,8589139
8592374,12,21,4,true,8589163
8504631,19,27,5,true,null
8592374,5,40,5,true,8504631
8504631,12,1,5,true,8592374
8592374,17,28,2,true,null
8577811,10,33,2,true,8592374
8592374,11,11,5,true,null
8589159,13,3,5,true,8592374
8592374,13,16,5,true,8589159
8504631,17,1,5,true,8592374
8592374,14,56,5,true,8504631
8589157,17,47,4,true,null
8589129,7,21,5,true,null
8592374,13,54,4,true,null
8577784,10,9,4,true,8592374
8588860,14,59,4,true,8577784
8589153,18,5,1,false,null
8589177,9,34,3,true,null
8592374,10,24,4,true,null
8577784,12,23,4,true,8592374
8592374,5,46,5,true,null
8589177,9,36,6,true,null
8587255,9,40,2,true,null
8592374,9,44,2,true,8587255
8589177,9,41,6,true,null
8577811,12,16,5,true,null
8577784,12,45,5,true,8577811
8589135,13,23,5,true,8577784
8591687,13,36,5,true,8589135
8592374,13,47,5,true,8591687
8588860,12,29,4,true,null
8592374,8,0,6,true,null
8589159,8,28,6,true,8592374
8577784,8,30,6,true,8589159
8576986,11,26,6,true,8577784
8589129,13,53,6,true,8576986
8589153,5,44,2,true,null
8589177,9,54,2,true,8589153
8592374,9,58,3,true,null
8589177,9,29,5,true,null
8577784,5,39,6,true,null
8589177,9,31,6,true,8577784
8577784,5,48,2,true,null
8589177,9,37,2,true,8577784
8577784,5,47,4,true,null
8589177,9,37,4,true,8577784
8577784,5,50,5,true,null
8589159,5,4,6,true,null
8577784,5,52,2,true,null
8589177,9,37,3,true,null
8577784,5,38,4,true,null
8589177,9,22,4,true,8577784
8577784,10,25,4,true,8589177
8589177,9,27,5,true,null
8587255,9,48,4,true,null
8592374,11,32,4,true,8587255
8577784,12,22,5,true,null
8589177,9,52,2,true,null
8577784,5,38,3,true,null
8589177,9,37,6,true,null
8577784,5,37,3,true,null
8589177,10,4,3,true,8577784
8577784,5,41,5,true,null
8589177,9,22,6,true,null
8592374,9,55,6,true,8589177
8577784,15,39,7,false,null
8589177,10,46,2,true,null
8577784,6,42,4,true,null
8589177,10,34,4,true,8577784
8577784,6,42,5,true,null
8589177,10,43,5,true,8577784
8577784,6,30,6,true,null
8592374,6,32,6,true,8577784
8577815,14,51,6,true,8592374
8577784,7,35,5,true,null
8589159,13,33,4,true,null
8589143,9,34,5,true,null
8577784,7,22,6,true,null
8592374,14,43,6,true,8577784
