@relation users

@attribute stationId {8508101,8588858,8589149,8507110,8589003,8593866,8530038,8589148,8570600,8589164,8589163,8572307,8588352,8588351,8592086,8577742,8592202,8577741,8504862,8504100,8501474,8581351,8588768,8590006,8592369,8588344,8507061,8589174,8589155,8589154,8592372,299388,8592374,8576646,8595521,8592176,8577813,null,8588080,8592213,8592379,8504631,8504975,8501300,8592050}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8508101,8588858,8589149,8507110,8589003,8593866,8530038,8589148,8570600,8589164,8589163,8572307,8588352,8588351,8592086,8577742,8592202,8577741,8504862,8504100,8501474,8581351,8588768,8590006,8592369,8588344,8507061,8589174,8589155,8589154,8592372,299388,8592374,8576646,8595521,8592176,8577813,null,8588080,8592213,8592379,8504631,8504975,8501300,8592050}

@data
8504975,21,58,3,true,null
8577742,7,4,4,true,null
8577741,12,29,4,true,8577742
8589148,10,12,5,true,null
8577741,15,9,5,true,8589148
8504975,15,58,6,true,null
8589163,17,35,6,true,8504975
8589164,18,24,6,true,8589163
8589155,18,33,6,true,8589164
8577742,19,8,1,false,null
8577741,11,21,3,true,null
8577742,7,44,4,true,null
8577741,8,42,5,true,null
8577742,21,13,6,true,null
8588858,10,44,7,false,null
8577741,9,38,1,false,null
8577742,14,29,1,false,8577741
8588351,15,48,1,false,8577742
8577741,11,47,2,true,null
8577742,17,31,2,true,8577741
8504975,17,42,2,true,8577742
8589148,10,17,3,true,null
8589155,6,27,6,true,null
8577741,9,46,6,true,8589155
8592374,8,58,7,false,null
8588080,9,19,7,false,8592374
8572307,10,9,7,false,8588080
8588768,14,17,7,false,8572307
8577742,17,45,7,false,8588768
8589174,12,18,1,false,null
8577741,10,30,2,true,null
8577742,7,59,4,true,null
8592086,13,11,5,true,null
8592050,13,19,5,true,8592086
8577742,9,47,1,false,null
8577741,16,35,6,true,null
8592213,9,27,7,false,null
8577813,6,17,3,true,null
8592379,6,28,3,true,8577813
8592374,6,50,3,true,8592379
8577741,15,20,3,true,8592374
8592374,15,20,3,true,8577741
8592369,15,42,3,true,8592374
8592379,15,45,3,true,8592369
8592374,13,55,5,true,null
8577742,20,19,7,false,null
8577741,11,21,3,true,null
8577742,7,38,4,true,null
8577741,9,33,4,true,8577742
8577742,16,33,4,true,8577741
8588352,21,12,4,true,8577742
8577742,6,57,5,true,null
8577741,14,57,3,true,null
8577742,18,19,5,true,null
8589148,11,41,4,true,null
8504975,19,2,1,false,null
8576646,6,53,2,true,null
8589003,7,37,2,true,8576646
8590006,7,40,2,true,8589003
8507110,7,42,2,true,8590006
8504975,17,16,2,true,8507110
8577741,6,51,5,true,null
8592374,6,51,5,true,8577741
8576646,7,33,5,true,8592374
8507061,8,9,5,true,8576646
8589148,11,34,5,true,8507061
8504975,18,41,7,false,null
8593866,18,46,1,false,null
8504975,21,21,1,false,8593866
8589148,8,10,2,true,null
8504975,18,51,2,true,8589148
8589148,9,52,4,true,null
8504975,21,18,4,true,8589148
8577741,9,59,4,true,8504975
8504975,20,14,4,true,8577741
8504631,15,30,5,true,null
8504975,6,53,6,true,null
8588352,9,6,3,true,null
8504100,9,6,3,true,8588352
8589154,11,1,3,true,8504100
8504975,8,28,5,true,null
8508101,9,51,5,true,8504975
299388,15,33,6,true,null
8592374,17,40,6,true,299388
8504975,8,1,7,false,null
8589155,12,24,7,false,8504975
8577741,12,44,7,false,8589155
8504975,15,51,7,false,8577741
8589148,19,47,7,false,8504975
8504975,11,38,1,false,null
8589148,19,13,1,false,8504975
8504975,5,17,2,true,null
8589148,20,0,2,true,8504975
8504975,6,47,3,true,null
8589148,11,49,3,true,8504975
8504975,15,23,3,true,8589148
8588858,16,4,3,true,8504975
8504975,8,17,4,true,null
8589148,12,25,5,true,null
8577741,17,6,5,true,8589148
8504975,19,57,5,true,8577741
8589148,17,43,6,true,null
8589149,17,46,6,true,8589148
8504975,18,15,6,true,8589149
8592202,14,21,7,false,null
8592086,20,17,7,false,8592202
8595521,20,53,7,false,8592086
8592213,9,45,1,false,null
8504100,11,34,1,false,8592213
8504975,12,25,1,false,8504100
8589148,9,9,2,true,null
8577741,10,57,2,true,8589148
8589148,16,8,2,true,8577741
8504975,16,27,2,true,8589148
8577742,17,56,2,true,8504975
8504975,18,1,2,true,8577742
8577741,14,20,3,true,null
8504975,17,44,3,true,8577741
8589148,9,12,4,true,null
8504975,18,48,4,true,8589148
8589148,15,0,5,true,null
8504975,20,34,5,true,8589148
8589148,12,51,6,true,null
8504975,18,36,6,true,8589148
8581351,17,33,6,true,8504975
8504975,0,31,1,false,null
8577742,8,22,2,true,null
8589148,17,0,2,true,8577742
8577741,17,2,2,true,8589148
8504975,8,37,3,true,null
8589148,16,52,3,true,8504975
8504975,8,57,4,true,null
8589148,17,21,4,true,8504975
8504975,8,39,5,true,null
8589148,17,34,5,true,8504975
8504975,8,30,6,true,null
8589154,18,9,6,true,8504975
8592374,20,28,6,true,8589154
8504975,16,15,7,false,null
8588858,13,49,2,true,null
8592374,13,50,2,true,8588858
8589154,18,16,2,true,8592374
8504975,8,25,3,true,null
8589148,20,51,3,true,8504975
8577741,20,58,3,true,8589148
8504975,8,27,4,true,null
8588352,15,25,4,true,8504975
8589148,16,28,4,true,8588352
8504975,17,33,4,true,8589148
8592374,17,54,4,true,8504975
8592372,21,20,4,true,8592374
8592374,21,56,4,true,8592372
8504975,8,4,5,true,null
8589148,10,21,5,true,8504975
8504975,18,23,5,true,8589148
8589148,8,59,6,true,null
8504975,21,17,1,false,null
8589148,16,41,2,true,null
8504975,20,41,6,true,null
8588858,13,59,7,false,null
8592176,11,45,1,false,null
8504975,11,46,1,false,8592176
8589148,9,51,2,true,null
8592374,13,37,2,true,8589148
8589148,16,3,2,true,8592374
8592374,16,33,2,true,8589148
8504975,21,33,2,true,8592374
8588352,13,5,6,true,null
8504975,22,3,3,true,null
8592374,14,42,7,false,null
8504975,17,11,7,false,8592374
8589148,12,47,2,true,null
8504975,18,26,2,true,8589148
8589148,14,28,3,true,null
8504975,7,56,4,true,null
8589148,13,28,4,true,8504975
8504975,21,38,4,true,8589148
8589148,10,26,5,true,null
8504975,17,52,5,true,8589148
8589148,9,55,6,true,null
8577741,16,55,6,true,8589148
8504975,21,10,6,true,8577741
8589155,13,21,7,false,null
8577741,13,36,7,false,8589155
8504975,13,59,7,false,8577741
8589148,16,4,2,true,null
8504975,8,33,3,true,null
8589148,16,37,3,true,8504975
8504862,17,15,3,true,8589148
8504975,21,23,3,true,8504862
8589148,8,2,4,true,null
8589154,17,10,4,true,8589148
8504975,17,28,4,true,8589154
8577741,10,40,5,true,null
8589148,11,28,5,true,8577741
8504975,14,3,5,true,8589148
