@relation users

@attribute stationId {8588858,8589139,8589269,8589163,8588352,8589155,8589177,8589154,8589176,8577837,8592374,8589161,8593299,null,8577742,8504862,8504631,8577741,8504975}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8588858,8589139,8589269,8589163,8588352,8589155,8589177,8589154,8589176,8577837,8592374,8589161,8593299,null,8577742,8504862,8504631,8577741,8504975}

@data
8592374,9,53,7,false,null
8589161,10,3,7,false,8592374
8592374,14,53,2,true,null
8504975,14,55,6,true,null
8577742,15,5,6,true,8504975
8592374,15,15,6,true,8577742
8589161,10,54,4,true,null
8577742,15,11,5,true,null
8592374,16,20,5,true,8577742
8577742,4,38,6,true,null
8504975,4,30,2,true,null
8592374,15,30,4,true,null
8504975,13,56,6,true,null
8589161,15,17,6,true,8504975
8577742,13,34,5,true,null
8588858,13,43,5,true,8577742
8592374,14,30,5,true,8588858
8577742,10,0,7,false,null
8592374,10,9,7,false,8577742
8504975,4,29,2,true,null
8592374,14,47,3,true,null
8577742,10,50,4,true,null
8592374,12,47,4,true,8577742
8504975,6,0,5,true,null
8589161,7,19,5,true,8504975
8504975,4,31,2,true,null
8592374,14,48,2,true,8504975
8504975,4,38,3,true,null
8577742,8,7,5,true,null
8504975,4,34,2,true,null
8589161,8,7,4,true,null
8577742,7,39,4,true,8589161
8589161,8,31,4,true,8577742
8504975,4,37,2,true,null
8589154,7,39,4,true,null
8577742,13,23,6,true,null
8589176,16,45,1,false,null
8504975,4,34,2,true,null
8592374,14,58,2,true,8504975
8504975,11,57,7,false,null
8504862,9,22,7,false,8504975
8504975,4,35,2,true,null
8592374,15,47,2,true,8504975
8589161,18,28,4,true,null
8577837,21,1,4,true,8589161
8589269,21,1,4,true,8577837
8592374,13,2,7,false,null
8588352,14,0,7,false,8592374
8589161,14,5,7,false,8588352
8589139,16,45,7,false,8589161
8577742,12,2,1,false,null
8504975,5,32,2,true,null
8592374,15,52,2,true,8504975
8589161,7,30,6,true,null
8588858,8,43,6,true,8589161
8589154,8,46,6,true,8588858
8589163,11,38,7,false,null
8589155,12,24,2,true,null
8504975,12,40,2,true,8589155
8592374,15,53,2,true,8504975
8589177,16,35,2,true,8592374
8577742,8,14,5,true,null
8592374,15,50,2,true,null
8504975,5,41,3,true,null
8589161,10,1,6,true,null
8592374,15,1,7,false,null
8504631,15,9,7,false,8592374
8577742,16,33,7,false,8504631
8504975,5,39,2,true,null
8589161,8,25,5,true,null
8592374,8,56,6,true,null
8577742,12,4,6,true,8592374
8504975,9,59,1,false,null
8593299,12,26,1,false,8504975
8592374,15,51,2,true,null
8577741,11,14,2,true,8592374
8504975,5,46,3,true,null
8577742,15,39,6,true,null
8589155,16,45,6,true,8577742
8504975,0,24,6,true,8589155
8592374,15,2,2,true,null
8589161,8,20,6,true,null
8577742,8,0,2,true,null
8592374,15,52,3,true,null
8504975,14,12,6,true,null
8592374,14,44,6,true,8504975
8589161,14,52,6,true,8592374
