@relation users

@attribute stationId {8576193,8503010,8589427,8591105,8591349,299311,8591352,8591233,8503651,8590542,8576196,8503653,8591194,8576195,8589419,8503020,8503381,8591357,8591115,8591239,8594198,8591241,8591363,299964,8591367,8591246,299208,8591080,8591082,8503147,8590557,8503152,8587347,8587348,8590554,8591368,8594239,8591404,299057,8591133,299457,299613,299979,8591093,8590569,8590568,8503681,8590566,8591259,8590609,8575998,8591262,8591263,8591384,8503449,299501,8591420,8591387,299228,8576202,299507,8590570,8590579,8590578,8590576,8587683,8591427,299750,8573205,8591398,8591277,8595470,8591159,8591317,299247,8591287,null,8591322,8591169,299527,8590594,8591282,8590510,299385,8591052,8591296,8591298,8591056,8591177,8591057,8591299,8591058,299899,8591059,299936,8578673,8591292,8587651,8587652,8591218,8591219,299550,8591184,8588060,8591065,8591186,8503009,8591221,8591067,8591101,8503003,8503000,8500010,8503088,8503127,8591181,8591060,8503125,8591183,8595263,8591062}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8576193,8503010,8589427,8591105,8591349,299311,8591352,8591233,8503651,8590542,8576196,8503653,8591194,8576195,8589419,8503020,8503381,8591357,8591115,8591239,8594198,8591241,8591363,299964,8591367,8591246,299208,8591080,8591082,8503147,8590557,8503152,8587347,8587348,8590554,8591368,8594239,8591404,299057,8591133,299457,299613,299979,8591093,8590569,8590568,8503681,8590566,8591259,8590609,8575998,8591262,8591263,8591384,8503449,299501,8591420,8591387,299228,8576202,299507,8590570,8590579,8590578,8590576,8587683,8591427,299750,8573205,8591398,8591277,8595470,8591159,8591317,299247,8591287,null,8591322,8591169,299527,8590594,8591282,8590510,299385,8591052,8591296,8591298,8591056,8591177,8591057,8591299,8591058,299899,8591059,299936,8578673,8591292,8587651,8587652,8591218,8591219,299550,8591184,8588060,8591065,8591186,8503009,8591221,8591067,8591101,8503003,8503000,8500010,8503088,8503127,8591181,8591060,8503125,8591183,8595263,8591062}
@attribute nextStationId {8576193,8503010,8589427,8591105,8591349,299311,8591352,8591233,8503651,8590542,8576196,8503653,8591194,8576195,8589419,8503020,8503381,8591357,8591115,8591239,8594198,8591241,8591363,299964,8591367,8591246,299208,8591080,8591082,8503147,8590557,8503152,8587347,8587348,8590554,8591368,8594239,8591404,299057,8591133,299457,299613,299979,8591093,8590569,8590568,8503681,8590566,8591259,8590609,8575998,8591262,8591263,8591384,8503449,299501,8591420,8591387,299228,8576202,299507,8590570,8590579,8590578,8590576,8587683,8591427,299750,8573205,8591398,8591277,8595470,8591159,8591317,299247,8591287,null,8591322,8591169,299527,8590594,8591282,8590510,299385,8591052,8591296,8591298,8591056,8591177,8591057,8591299,8591058,299899,8591059,299936,8578673,8591292,8587651,8587652,8591218,8591219,299550,8591184,8588060,8591065,8591186,8503009,8591221,8591067,8591101,8503003,8503000,8500010,8503088,8503127,8591181,8591060,8503125,8591183,8595263,8591062}

@data
8591065,9,9,5,true,null,null
8576193,10,0,6,true,null,8591105
8591105,10,3,6,true,8576193,8591241
8591241,11,56,6,true,8591105,8587683
8587683,13,53,6,true,8591241,null
8591065,12,4,2,true,null,null
8591241,22,13,3,true,null,null
8591065,10,5,5,true,null,8591194
8591194,10,8,5,true,8591065,8590510
8590510,10,8,5,true,8591194,8590569
8590569,10,24,5,true,8590510,8591186
8591186,15,20,5,true,8590569,8591398
8591398,15,21,5,true,8591186,8591277
8591277,17,4,5,true,8591398,8591065
8591065,20,52,5,true,8591277,null
8591241,22,10,7,false,null,8591239
8591239,22,42,7,false,8591241,null
8591065,8,11,5,true,null,null
8591057,14,45,1,false,null,null
8591183,10,3,3,true,null,null
8591298,13,35,4,true,null,null
8590566,9,55,6,true,null,8503651
8503651,10,6,6,true,8590566,8591105
8591105,10,8,6,true,8503651,8591368
8591368,18,21,6,true,8591105,8591056
8591056,18,24,6,true,8591368,null
8590570,18,13,1,false,null,null
8591398,17,34,3,true,null,null
8591241,23,0,4,true,null,8503009
8503009,23,3,4,true,8591241,null
8503651,11,30,6,true,null,null
8576193,21,33,3,true,null,null
8591065,6,37,4,true,null,null
8591219,17,0,2,true,null,8591368
8591368,17,2,2,true,8591219,null
8591299,7,8,3,true,null,8591404
8591404,7,13,3,true,8591299,null
8591065,7,28,5,true,null,null
8591398,17,40,1,false,null,8591184
8591184,20,13,1,false,8591398,null
8576193,4,33,6,true,null,null
8590542,6,38,7,false,null,8591105
8591105,7,13,7,false,8590542,8590566
8590566,15,8,7,false,8591105,8575998
8575998,21,59,7,false,8590566,8590557
8590557,22,49,7,false,8575998,8590578
8590578,22,50,7,false,8590557,8594198
8594198,22,50,7,false,8590578,8591368
8591368,23,9,7,false,8594198,null
8591065,16,58,1,false,null,8590566
8590566,20,37,1,false,8591065,8590510
8590510,20,37,1,false,8590566,8591367
8591367,19,48,1,false,8590510,8591277
8591277,20,54,1,false,8591367,null
8590568,6,17,3,true,null,8590557
8590557,6,18,3,true,8590568,null
8590568,6,44,5,true,null,8591398
8591398,20,26,5,true,8590568,8591277
8591277,21,51,5,true,8591398,8591296
8591296,22,4,5,true,8591277,8591292
8591292,22,6,5,true,8591296,8591246
8591246,22,8,5,true,8591292,8591420
8591420,22,30,5,true,8591246,null
8591065,11,26,6,true,null,null
8591241,9,54,3,true,null,null
8591065,5,15,4,true,null,null
8591404,21,29,7,false,null,8503020
8503020,21,35,7,false,8591404,8591177
8591177,21,50,7,false,8503020,8591368
8591368,21,55,7,false,8591177,8591262
8591262,21,57,7,false,8591368,8576193
8576193,21,57,7,false,8591262,null
8503651,7,16,2,true,null,8503449
8503449,7,18,2,true,8503651,8591352
8591352,7,19,2,true,8503449,8591317
8591317,7,20,2,true,8591352,null
8591065,6,48,1,false,null,8591184
8591184,21,1,1,false,8591065,8591277
8591277,21,31,1,false,8591184,8591101
8591101,22,5,1,false,8591277,null
8591065,6,26,2,true,null,null
8591105,6,35,3,true,null,8591317
8591317,6,44,3,true,8591105,null
8576193,6,48,4,true,null,8591105
8591105,6,48,4,true,8576193,null
8591241,22,0,3,true,null,null
8591317,6,8,6,true,null,null
8591065,6,0,7,false,null,8503651
8503651,13,44,7,false,8591065,8591219
8591219,21,37,7,false,8503651,8576193
8576193,22,3,7,false,8591219,null
