@relation users

@attribute stationId {8504182,8588856,8588858,8589149,8530235,8589148,8589142,8592043,8589140,8592168,299438,8579623,8577688,8592368,8504100,8507653,8504622,8577150,8588445,8587238,8589135,8591119,8589177,8570318,8589176,8592372,8592373,8592374,8504637,8579616,8501008,8589172,null,8501208,8501121,8590032,8587103,8530016,8589168,8591766,8592856,8589164,8589163,8577819,8589160,299850,8593275,8589161,8591375,8592387,8592388,8577866,8519133,8577742,8570751,8577786,8592862,8577784,299979,8577741,8504881,8504176,8588860,8587255,8589153,8589155,8589154,8577815,8593485,8577810,8507969,8504133}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8504182,8588856,8588858,8589149,8530235,8589148,8589142,8592043,8589140,8592168,299438,8579623,8577688,8592368,8504100,8507653,8504622,8577150,8588445,8587238,8589135,8591119,8589177,8570318,8589176,8592372,8592373,8592374,8504637,8579616,8501008,8589172,null,8501208,8501121,8590032,8587103,8530016,8589168,8591766,8592856,8589164,8589163,8577819,8589160,299850,8593275,8589161,8591375,8592387,8592388,8577866,8519133,8577742,8570751,8577786,8592862,8577784,299979,8577741,8504881,8504176,8588860,8587255,8589153,8589155,8589154,8577815,8593485,8577810,8507969,8504133}
@attribute nextStationId {8504182,8588856,8588858,8589149,8530235,8589148,8589142,8592043,8589140,8592168,299438,8579623,8577688,8592368,8504100,8507653,8504622,8577150,8588445,8587238,8589135,8591119,8589177,8570318,8589176,8592372,8592373,8592374,8504637,8579616,8501008,8589172,null,8501208,8501121,8590032,8587103,8530016,8589168,8591766,8592856,8589164,8589163,8577819,8589160,299850,8593275,8589161,8591375,8592387,8592388,8577866,8519133,8577742,8570751,8577786,8592862,8577784,299979,8577741,8504881,8504176,8588860,8587255,8589153,8589155,8589154,8577815,8593485,8577810,8507969,8504133}

@data
8589153,18,29,2,true,null,null
8589149,22,13,1,false,null,null
8592374,18,2,4,true,null,null
8589155,14,31,6,true,null,null
8504100,18,1,4,true,null,8593485
8593485,15,50,4,true,8504100,null
8589163,5,6,2,true,null,null
299850,6,43,5,true,null,null
8591119,6,56,2,true,null,null
8592373,3,45,3,true,8591119,null
299438,16,29,5,true,null,null
8591375,16,19,2,true,null,299979
299979,16,19,2,true,8591375,null
8592388,20,26,4,true,null,8592372
8592372,20,27,4,true,8592388,8592374
8592374,20,56,4,true,8592372,null
8589149,17,47,2,true,null,null
8591119,8,4,4,true,null,null
8589149,20,5,3,true,null,null
8577150,18,40,1,false,null,null
8589149,3,45,2,true,8577150,null
8579623,7,26,4,true,null,8587255
8587255,12,29,4,true,8579623,null
8504637,20,51,7,false,null,null
8591119,13,12,2,true,null,null
8504100,18,31,4,true,null,null
8577741,14,20,6,true,null,8592374
8592374,18,29,6,true,8577741,null
8530235,21,7,7,false,null,null
8589149,12,40,2,true,null,null
8577741,12,50,5,true,null,null
8592374,22,1,3,true,null,null
8589149,13,24,4,true,null,null
8592374,18,8,1,false,null,null
8589153,18,58,3,true,null,null
8592374,22,40,4,true,null,null
8577866,20,57,1,false,null,8519133
8519133,20,58,1,false,8577866,8577784
8577784,21,0,1,false,8519133,null
8589149,14,29,4,true,null,8589154
8589154,15,14,4,true,8589149,8589161
8589161,15,14,4,true,8589154,null
8577741,8,40,6,true,null,8577688
8577688,9,13,6,true,8577741,8592368
8592368,18,6,6,true,8577688,8592374
8592374,18,6,6,true,8592368,null
8589149,12,44,7,false,null,8577810
8577810,13,52,7,false,8589149,8589161
8589161,13,52,7,false,8577810,8577815
8577815,14,16,7,false,8589161,null
8589148,20,30,1,false,null,null
8592374,15,33,2,true,null,null
8589148,13,11,3,true,null,8530016
8530016,13,58,3,true,8589148,8577810
8577810,14,1,3,true,8530016,8588858
8588858,15,5,3,true,8577810,null
8589149,11,47,7,false,null,null
8592374,17,47,2,true,null,null
8589149,6,26,7,false,null,8577741
8577741,7,8,7,false,8589149,8588858
8588858,13,27,7,false,8577741,null
8589154,7,37,2,true,null,8589135
8589135,8,7,2,true,8589154,8592374
8592374,8,23,2,true,8589135,null
